department,program,year,subjects
School of Agricultural Sciences and Veterinary Medicine,[AV2877] SCIENCE AND CULTURE OF GASTRONOMY,2,RELATIONSHIP PRACTICE IN ENOGRASTRONOMY
School of Agricultural Sciences and Veterinary Medicine,[AV2877] SCIENCE AND CULTURE OF GASTRONOMY,2,STUDY OF FOOD NUTRITIONAL VALUE
School of Agricultural Sciences and Veterinary Medicine,[AV2877] SCIENCE AND CULTURE OF GASTRONOMY,3,BUSINESS PLAN
School of Agricultural Sciences and Veterinary Medicine,[AV2877] SCIENCE AND CULTURE OF GASTRONOMY,3,EDUCATIONAL LEADERSHIP IN ORGANISATION
School of Agricultural Sciences and Veterinary Medicine,[AV2877] SCIENCE AND CULTURE OF GASTRONOMY,3,FOOD CHEMISTRY
School of Agricultural Sciences and Veterinary Medicine,[AV2877] SCIENCE AND CULTURE OF GASTRONOMY,3,GASTRONOMIC DISCOURSE AND COMMUNICATION
School of Agricultural Sciences and Veterinary Medicine,[AV2877] SCIENCE AND CULTURE OF GASTRONOMY,3,LABORATORY OF STORYTELLING FOR GASTRONOMY
School of Agricultural Sciences and Veterinary Medicine,[AV2877] SCIENCE AND CULTURE OF GASTRONOMY,3,MARKETING
School of Agricultural Sciences and Veterinary Medicine,[AV2877] SCIENCE AND CULTURE OF GASTRONOMY,3,SPEAKING OF FOOD - A TASTY CONVERSATION
School of Agricultural Sciences and Veterinary Medicine,[AV2878] VETERINARY MEDICINE,1,BIOLOGY
School of Agricultural Sciences and Veterinary Medicine,[AV2878] VETERINARY MEDICINE,1,CHEMISTRY AND PROPEDEUTICAL BIOCHEMISTRY
School of Agricultural Sciences and Veterinary Medicine,[AV2878] VETERINARY MEDICINE,1,ENGLISH LANGUAGE
School of Agricultural Sciences and Veterinary Medicine,[AV2878] VETERINARY MEDICINE,1,FINAL EXAM
School of Agricultural Sciences and Veterinary Medicine,[AV2878] VETERINARY MEDICINE,1,PHYSICS
School of Agricultural Sciences and Veterinary Medicine,[AV2878] VETERINARY MEDICINE,1,PRACTICAL ASSESSMENT
School of Agricultural Sciences and Veterinary Medicine,[AV2878] VETERINARY MEDICINE,1,VETERINARY ANATOMY I
School of Agricultural Sciences and Veterinary Medicine,[AV2878] VETERINARY MEDICINE,1,VETERINARY ANATOMY II AND VETERINARY HISTOLOGY AND EMBRIOLOGY
School of Agricultural Sciences and Veterinary Medicine,[AV2878] VETERINARY MEDICINE,1,VETERINARY BIOCHEMISTRY AND MOLECULAR BIOLOGY
School of Agricultural Sciences and Veterinary Medicine,[AV2878] VETERINARY MEDICINE,2,ANIMAL BREEDING AND GENETICS AND ZOOLOGY
School of Agricultural Sciences and Veterinary Medicine,[AV2878] VETERINARY MEDICINE,2,ANIMAL NUTRITION AND ECONOMICS
School of Agricultural Sciences and Veterinary Medicine,[AV2878] VETERINARY MEDICINE,2,HYGIENE AND TECHNOLOGY FOR FOOD SAFETY
School of Agricultural Sciences and Veterinary Medicine,[AV2878] VETERINARY MEDICINE,2,PRACTICAL EVALUATIVE INTERNSHIP (SECOND YEAR)
School of Agricultural Sciences and Veterinary Medicine,[AV2878] VETERINARY MEDICINE,2,VETERINARY MICROBIOLOGY AND IMMUNOLOGY (C.I.)
School of Agricultural Sciences and Veterinary Medicine,[AV2878] VETERINARY MEDICINE,2,VETERINARY PHYSIOLOGY 1 AND ETHOLOGY
School of Agricultural Sciences and Veterinary Medicine,[AV2878] VETERINARY MEDICINE,2,VETERINARY PHYSIOLOGY 2
School of Agricultural Sciences and Veterinary Medicine,[AV2878] VETERINARY MEDICINE,3,ANIMAL HUSBANDRY
School of Agricultural Sciences and Veterinary Medicine,[AV2878] VETERINARY MEDICINE,3,GENERAL PATHOLOGY
School of Agricultural Sciences and Veterinary Medicine,[AV2878] VETERINARY MEDICINE,3,"INFECTIOUS DISEASES OF LIVESTOCK, POULTRY AND COMPANION ANIMALS"
School of Agricultural Sciences and Veterinary Medicine,[AV2878] VETERINARY MEDICINE,3,PARASITOLOGY AND PARASITIC DISEASES (C.I.)
School of Agricultural Sciences and Veterinary Medicine,[AV2878] VETERINARY MEDICINE,3,PRACTICAL EVALUATIVE INTERNSHIP (THIRD YEAR)
School of Agricultural Sciences and Veterinary Medicine,[AV2878] VETERINARY MEDICINE,3,VETERINARY GENERAL ANATOMICAL PATHOLOGY
School of Agricultural Sciences and Veterinary Medicine,[AV2878] VETERINARY MEDICINE,3,VETERINARY PHARMACOLOGY AND TOXICOLOGY
School of Agricultural Sciences and Veterinary Medicine,[AV2878] VETERINARY MEDICINE,3,VETERINARY SURGERY PATHOLOGY AND SEMEIOTICS E VETERINARY OBSTETRICS AND PATHOLOGY OF REPRODUCTION (C.I.)
School of Agricultural Sciences and Veterinary Medicine,[AV2878] VETERINARY MEDICINE,4,ANIMAL WELFARE AND VETERINARY PROFESSION
School of Agricultural Sciences and Veterinary Medicine,[AV2878] VETERINARY MEDICINE,4,COMPANION ANIMALS 1
School of Agricultural Sciences and Veterinary Medicine,[AV2878] VETERINARY MEDICINE,4,FARM ANIMALS 1
School of Agricultural Sciences and Veterinary Medicine,[AV2878] VETERINARY MEDICINE,4,FOOD SANITARY INSPECTION METHODS
School of Agricultural Sciences and Veterinary Medicine,[AV2878] VETERINARY MEDICINE,4,NON-TRADITIONAL COMPANION ANIMALS 1
School of Agricultural Sciences and Veterinary Medicine,[AV2878] VETERINARY MEDICINE,4,PRACTICAL EVALUATIVE INTERNSHIP (FOURTH YEAR)
School of Agricultural Sciences and Veterinary Medicine,[AV2878] VETERINARY MEDICINE,4,PUBLIC HEALTH 1
School of Agricultural Sciences and Veterinary Medicine,[AV2878] VETERINARY MEDICINE,4,"VETERINARY MEDICAL SEMEIOTICS, INTERNAL MEDICINE AND CLINICAL-PATHOLOGY AND MEDICAL IMAGING (C.I.)"
School of Agricultural Sciences and Veterinary Medicine,[AV2878] VETERINARY MEDICINE,4,VETERINARY SPECIAL ANATOMICAL PATHOLOGY
School of Agricultural Sciences and Veterinary Medicine,[AV2878] VETERINARY MEDICINE,4,VETERINARY SURGERY
School of Agricultural Sciences and Veterinary Medicine,[AV2878] VETERINARY MEDICINE,5,CLINICS IN REPRODUCTION
School of Agricultural Sciences and Veterinary Medicine,[AV2878] VETERINARY MEDICINE,5,COMPANION ANIMALS 2
School of Agricultural Sciences and Veterinary Medicine,[AV2878] VETERINARY MEDICINE,5,FARM ANIMALS 2
School of Agricultural Sciences and Veterinary Medicine,[AV2878] VETERINARY MEDICINE,5,NON-TRADITIONAL COMPANION ANIMALS 2
School of Agricultural Sciences and Veterinary Medicine,[AV2878] VETERINARY MEDICINE,5,PRACTICAL EVALUATIVE INTERNSHIP (FIFTH YEAR)
School of Agricultural Sciences and Veterinary Medicine,[AV2878] VETERINARY MEDICINE,5,PUBLIC HEALTH 2
School of Agricultural Sciences and Veterinary Medicine,[AV2878] VETERINARY MEDICINE,5,VETERINARY CLINICAL MEDICINE
School of Agricultural Sciences and Veterinary Medicine,[AV2878] VETERINARY MEDICINE,5,VETERINARY SURGERY CLINIC
School of Agricultural Sciences and Veterinary Medicine,[AV2879] FOOD AND HEALTH,1,DIGITAL SKILLS
School of Agricultural Sciences and Veterinary Medicine,[AV2879] FOOD AND HEALTH,1,"ECOLOGY OF FOODBORNE PATHOGENS, FOOD TOXICOLOGY AND ANTIMICROBIAL RESISTANCE"
School of Agricultural Sciences and Veterinary Medicine,[AV2879] FOOD AND HEALTH,1,FINAL EXAMINATION
School of Agricultural Sciences and Veterinary Medicine,[AV2879] FOOD AND HEALTH,1,"FOOD MICROBIOTA, HUMAN MICROBIOME, PLANT BIOACTIVE COMPOUNDS AND FOOD QUALITY (C.I.)"
School of Agricultural Sciences and Veterinary Medicine,[AV2879] FOOD AND HEALTH,1,FOOD SCIENCE AND SAFETY (C.I.)
School of Agricultural Sciences and Veterinary Medicine,[AV2879] FOOD AND HEALTH,1,GENOMICS OF NUTRITION
School of Agricultural Sciences and Veterinary Medicine,[AV2879] FOOD AND HEALTH,1,INDUSTRY AND COMMUNITY PROJECT
School of Agricultural Sciences and Veterinary Medicine,[AV2879] FOOD AND HEALTH,1,"INTERNATIONAL REGULATIONS FOR FOOD SAFETY, CERTIFICATION AND TRADING"
School of Agricultural Sciences and Veterinary Medicine,[AV2879] FOOD AND HEALTH,1,MECHANISMS OF TISSUES DISEASES AND HOW ENVIRONMENTAL CLUES ALTER ORGAN FUNCTION
School of Agricultural Sciences and Veterinary Medicine,[AV2879] FOOD AND HEALTH,1,NUTRITION AND METABOLIC PATHWAYS: FROM CELLS TO ORGANS
School of Agricultural Sciences and Veterinary Medicine,[AV2879] FOOD AND HEALTH,1,NUTRITIONAL DISORDERS
School of Agricultural Sciences and Veterinary Medicine,[AV2879] FOOD AND HEALTH,1,SUSTAINABLE RESOURCE-EFFICIENT FOOD PRODUCTION AND PROCESSING
School of Agricultural Sciences and Veterinary Medicine,[AV2879] FOOD AND HEALTH,2,HUMAN NUTRITION: SUSTAINABILITY AND MULTIDISCIPLINARY PERSPECTIVE
School of Agricultural Sciences and Veterinary Medicine,[AV2879] FOOD AND HEALTH,2,NUTRITION-RELATED DISEASES
School of Agricultural Sciences and Veterinary Medicine,[AV2879] FOOD AND HEALTH,2,QUALITY CONTROL AND DATA ANALYTICS IN FOOD PRODUCTION
School of Agricultural Sciences and Veterinary Medicine,[AV2879] FOOD AND HEALTH,2,RESEARCH METHODS IN ECONOMICS: UNDERSTANDING DECISION MAKING AND CONSUMER BEHAVIOR TO PROMOTE HEALTHY CHOICES
School of Agricultural Sciences and Veterinary Medicine,[AV2880] AGRICULTURAL SCIENCE AND TECHNOLOGY,1,AGRICULTURAL POLITICS
School of Agricultural Sciences and Veterinary Medicine,[AV2880] AGRICULTURAL SCIENCE AND TECHNOLOGY,1,"APICULTURE, WILD POLLINATORS, AND HONEY PLANTS"
School of Agricultural Sciences and Veterinary Medicine,[AV2880] AGRICULTURAL SCIENCE AND TECHNOLOGY,1,BIOLOGICAL CONTROL OF PEST
School of Agricultural Sciences and Veterinary Medicine,[AV2880] AGRICULTURAL SCIENCE AND TECHNOLOGY,1,BIOLOGY AND DISEASE CONTROL
School of Agricultural Sciences and Veterinary Medicine,[AV2880] AGRICULTURAL SCIENCE AND TECHNOLOGY,1,CAD APPLICATIONS IN AGRICULTURE
School of Agricultural Sciences and Veterinary Medicine,[AV2880] AGRICULTURAL SCIENCE AND TECHNOLOGY,1,CROP PHYSIOLOGY
School of Agricultural Sciences and Veterinary Medicine,[AV2880] AGRICULTURAL SCIENCE AND TECHNOLOGY,1,DIGITAL TECHNOLOGIES AND MECHANIZATION IN AGRICULTURE
School of Agricultural Sciences and Veterinary Medicine,[AV2880] AGRICULTURAL SCIENCE AND TECHNOLOGY,1,ENGLISH LANGUAGE 2
School of Agricultural Sciences and Veterinary Medicine,[AV2880] AGRICULTURAL SCIENCE AND TECHNOLOGY,1,FINAL EXAM
School of Agricultural Sciences and Veterinary Medicine,[AV2880] AGRICULTURAL SCIENCE AND TECHNOLOGY,1,GENETIC IMPROVEMENT
School of Agricultural Sciences and Veterinary Medicine,[AV2880] AGRICULTURAL SCIENCE AND TECHNOLOGY,1,GIS APPLICATIONS IN AGRICULTURE
School of Agricultural Sciences and Veterinary Medicine,[AV2880] AGRICULTURAL SCIENCE AND TECHNOLOGY,1,INTERNSHIP
School of Agricultural Sciences and Veterinary Medicine,[AV2880] AGRICULTURAL SCIENCE AND TECHNOLOGY,1,IRRIGATION TECHNIQUES AND TECHNOLOGIES
School of Agricultural Sciences and Veterinary Medicine,[AV2880] AGRICULTURAL SCIENCE AND TECHNOLOGY,1,POULTRY AND RABBIT PRODUCTION
School of Agricultural Sciences and Veterinary Medicine,[AV2880] AGRICULTURAL SCIENCE AND TECHNOLOGY,1,WATER RESOURCES MANAGEMENT
School of Agricultural Sciences and Veterinary Medicine,[AV2880] AGRICULTURAL SCIENCE AND TECHNOLOGY,1,WEED SCIENCE AND ENVIRONMENTAL IMPACT OF AGRICULTURE
School of Agricultural Sciences and Veterinary Medicine,[AV2880] AGRICULTURAL SCIENCE AND TECHNOLOGY,2,"AGRICULTURAL, ENVIRONMENTAL AND LAND PLANNING LAW"
School of Agricultural Sciences and Veterinary Medicine,[AV2880] AGRICULTURAL SCIENCE AND TECHNOLOGY,2,APPLIED APPRAISAL
School of Agricultural Sciences and Veterinary Medicine,[AV2880] AGRICULTURAL SCIENCE AND TECHNOLOGY,2,BIOMASS AND BIOENERGY
School of Agricultural Sciences and Veterinary Medicine,[AV2880] AGRICULTURAL SCIENCE AND TECHNOLOGY,2,EXPERIMENTAL DESIGN AND STATISTICS
School of Agricultural Sciences and Veterinary Medicine,[AV2880] AGRICULTURAL SCIENCE AND TECHNOLOGY,2,INTEGRATED PEST MANAGEMENT IN AGRICULTURAL SYSTEMS
School of Agricultural Sciences and Veterinary Medicine,[AV2880] AGRICULTURAL SCIENCE AND TECHNOLOGY,2,INTRODUCTION TO THE PROFESSIONAL ACTIVITY
School of Agricultural Sciences and Veterinary Medicine,[AV2880] AGRICULTURAL SCIENCE AND TECHNOLOGY,2,MARKETING OF AGRO-FOOD PRODUCTION
School of Agricultural Sciences and Veterinary Medicine,[AV2880] AGRICULTURAL SCIENCE AND TECHNOLOGY,2,ORGANIC AGRICULTURAL SYSTEMS
School of Agricultural Sciences and Veterinary Medicine,[AV2880] AGRICULTURAL SCIENCE AND TECHNOLOGY,2,PHYTOPATHOLOGICAL VIROLOGY AND BACTERIOLOGY
School of Agricultural Sciences and Veterinary Medicine,[AV2880] AGRICULTURAL SCIENCE AND TECHNOLOGY,2,POMOLOGY
School of Agricultural Sciences and Veterinary Medicine,[AV2880] AGRICULTURAL SCIENCE AND TECHNOLOGY,2,PROTECTED CULTIVATION
School of Agricultural Sciences and Veterinary Medicine,[AV2880] AGRICULTURAL SCIENCE AND TECHNOLOGY,2,SOIL FERTILITY AND PLANT NUTRITION
School of Agricultural Sciences and Veterinary Medicine,[AV2880] AGRICULTURAL SCIENCE AND TECHNOLOGY,2,SUSTAINABLE USE OF PESTICIDES
School of Agricultural Sciences and Veterinary Medicine,[AV2881] SUSTAINABLE AGRICULTURE,1,ADVANCED STATISTICS
School of Agricultural Sciences and Veterinary Medicine,[AV2881] SUSTAINABLE AGRICULTURE,1,AGRICULTURAL MANAGEMENT OF BIOGEOCHEMICAL CYCLES
School of Agricultural Sciences and Veterinary Medicine,[AV2881] SUSTAINABLE AGRICULTURE,1,AGRIFOOD ECONOMICS AND POLICY
School of Agricultural Sciences and Veterinary Medicine,[AV2881] SUSTAINABLE AGRICULTURE,1,FINAL EXAMINATION
School of Agricultural Sciences and Veterinary Medicine,[AV2881] SUSTAINABLE AGRICULTURE,1,GIS FOR AGRO-ENVIRONMENTAL STUDIES
School of Agricultural Sciences and Veterinary Medicine,[AV2881] SUSTAINABLE AGRICULTURE,1,INTEGRATED MANAGEMENT OF ARTHROPOD PESTS
School of Agricultural Sciences and Veterinary Medicine,[AV2881] SUSTAINABLE AGRICULTURE,1,LANGUAGE COURSE - OUTGOING
School of Agricultural Sciences and Veterinary Medicine,[AV2881] SUSTAINABLE AGRICULTURE,1,PLANT BREEDING
School of Agricultural Sciences and Veterinary Medicine,[AV2881] SUSTAINABLE AGRICULTURE,1,PRECISION FARMING
School of Agricultural Sciences and Veterinary Medicine,[AV2881] SUSTAINABLE AGRICULTURE,1,RESEARCH PLANNING
School of Agricultural Sciences and Veterinary Medicine,[AV2881] SUSTAINABLE AGRICULTURE,1,RESEARCH TRAINING
School of Agricultural Sciences and Veterinary Medicine,[AV2881] SUSTAINABLE AGRICULTURE,1,SOIL MICROBIOLOGY
School of Agricultural Sciences and Veterinary Medicine,[AV2881] SUSTAINABLE AGRICULTURE,1,SUSTAINABLE AGRICULTURE
School of Agricultural Sciences and Veterinary Medicine,[AV2881] SUSTAINABLE AGRICULTURE,1,SUSTAINABLE VEGETABLE PRODUCTION
School of Agricultural Sciences and Veterinary Medicine,[AV2881] SUSTAINABLE AGRICULTURE,1,WEED SCIENCE
School of Agricultural Sciences and Veterinary Medicine,[AV2881] SUSTAINABLE AGRICULTURE,2,BIOTECHNOLOGY FOR PLANT PROTECTION
School of Agricultural Sciences and Veterinary Medicine,[AV2881] SUSTAINABLE AGRICULTURE,2,COMMUNICATION SKILLS
School of Agricultural Sciences and Veterinary Medicine,[AV2881] SUSTAINABLE AGRICULTURE,2,IPM OF PATHOGENS OF FRUIT CROPS IN TEMPERATE CLIMATE
School of Agricultural Sciences and Veterinary Medicine,[AV2881] SUSTAINABLE AGRICULTURE,2,IPM OF PESTS OF FRUIT CROPS AND WOODY ORNAMENTALS IN TEMPERATE CLIMATE
School of Agricultural Sciences and Veterinary Medicine,[AV2881] SUSTAINABLE AGRICULTURE,2,LANGUAGE COURSE - INCOMING
School of Agricultural Sciences and Veterinary Medicine,[AV2881] SUSTAINABLE AGRICULTURE,2,MANAGEMENT OF NATIVE AND NON-NATIVE PESTS IN THE LANDSCAPE
School of Agricultural Sciences and Veterinary Medicine,[AV2881] SUSTAINABLE AGRICULTURE,2,SUSTAINABLE AGRICULTURE: PERSPECTIVES FROM ABROAD
School of Agricultural Sciences and Veterinary Medicine,[AV2881] SUSTAINABLE AGRICULTURE,2,SUSTAINABLE AND GREEN INFRASTRUCTURES
School of Agricultural Sciences and Veterinary Medicine,[AV2881] SUSTAINABLE AGRICULTURE,2,SUSTAINABLE LIVESTOCK SYSTEMS
School of Agricultural Sciences and Veterinary Medicine,[AV2881] SUSTAINABLE AGRICULTURE,2,SUSTAINABLE MANAGEMENT OF PLANT DISEASES
School of Agricultural Sciences and Veterinary Medicine,[AV2881] SUSTAINABLE AGRICULTURE,2,SUSTAINABLE MANAGEMENT OF SPORT AND ORNAMENTAL TURFGRASS
School of Agricultural Sciences and Veterinary Medicine,[AV2881] SUSTAINABLE AGRICULTURE,2,SUSTAINABLE USE OF PESTICIDES
School of Agricultural Sciences and Veterinary Medicine,[AV2881] SUSTAINABLE AGRICULTURE,2,SUSTAINABLE VINEYARD AND ORCHARD MANAGEMENT
School of Agricultural Sciences and Veterinary Medicine,[AV2881] SUSTAINABLE AGRICULTURE,2,SUSTAINABLE VITICULTURE AND WOODY CROP PRODUCTION
School of Agricultural Sciences and Veterinary Medicine,[AV2881] SUSTAINABLE AGRICULTURE,2,URBAN HORTICULTURE
School of Agricultural Sciences and Veterinary Medicine,[AV2881] SUSTAINABLE AGRICULTURE,2,WATER RESOURCES MANAGEMENT
School of Agricultural Sciences and Veterinary Medicine,[AV2882] ITALIAN FOOD AND WINE,1,ADVANCES IN SPARKLING WINE PRODUCTION
School of Agricultural Sciences and Veterinary Medicine,[AV2882] ITALIAN FOOD AND WINE,1,ANIMAL BIODIVERSITY AND FOOD
School of Agricultural Sciences and Veterinary Medicine,[AV2882] ITALIAN FOOD AND WINE,1,COMMUNICATION SKILLS
School of Agricultural Sciences and Veterinary Medicine,[AV2882] ITALIAN FOOD AND WINE,1,FINAL DISSERTATION
School of Agricultural Sciences and Veterinary Medicine,[AV2882] ITALIAN FOOD AND WINE,1,"FOOD AND WINE HISTORY, ANTHROPOLOGY AND SOCIETY"
School of Agricultural Sciences and Veterinary Medicine,[AV2882] ITALIAN FOOD AND WINE,1,FOOD AND WINE: INSIGHTS FROM ABROAD
School of Agricultural Sciences and Veterinary Medicine,[AV2882] ITALIAN FOOD AND WINE,1,FOOD MICROBIOLOGY AND QUALITY
School of Agricultural Sciences and Veterinary Medicine,[AV2882] ITALIAN FOOD AND WINE,1,"FOOD SAFETY, HYGIENE AND TRACEABILITY FOR FOOD QUALITY"
School of Agricultural Sciences and Veterinary Medicine,[AV2882] ITALIAN FOOD AND WINE,1,"FOOD, WINE AND NUTRITION"
School of Agricultural Sciences and Veterinary Medicine,[AV2882] ITALIAN FOOD AND WINE,1,PLANT BIODIVERSITY AND FOOD
School of Agricultural Sciences and Veterinary Medicine,[AV2882] ITALIAN FOOD AND WINE,1,"QUALITY, PROCESSING AND SENSORIAL ANALYSIS OF ITALIAN FOOD"
School of Agricultural Sciences and Veterinary Medicine,[AV2882] ITALIAN FOOD AND WINE,1,VALUE ADDING QUALITY SCHEMES AND CONSUMER DEMAND
School of Agricultural Sciences and Veterinary Medicine,[AV2882] ITALIAN FOOD AND WINE,2,CONSUMER BEHAVIOUR
School of Agricultural Sciences and Veterinary Medicine,[AV2882] ITALIAN FOOD AND WINE,2,FOOD AND WINE - BASED TERRITORIAL VALORIZATION AND RURAL DEVELOPMENT
School of Agricultural Sciences and Veterinary Medicine,[AV2882] ITALIAN FOOD AND WINE,2,"QUALITY, PROCESSING AND SENSORIAL ANALYSIS OF ITALIAN WINE"
School of Agricultural Sciences and Veterinary Medicine,[AV2882] ITALIAN FOOD AND WINE,2,QUALITY-ORIENTED FOOD AND WINE MANAGEMENT AND GOVERNANCE
School of Agricultural Sciences and Veterinary Medicine,[AV2882] ITALIAN FOOD AND WINE,2,RESEARCH METHODS FOR FOOD AND WINE STUDIES
School of Agricultural Sciences and Veterinary Medicine,[AV2883] FOOD SCIENCE AND TECHNOLOGY,1,ADVANCED METHODS FOR FOOD ANALYSES
School of Agricultural Sciences and Veterinary Medicine,[AV2883] FOOD SCIENCE AND TECHNOLOGY,1,CHEMICAL AND PHYSICAL QUALITY OF FOOD PRODUCTS
School of Agricultural Sciences and Veterinary Medicine,[AV2883] FOOD SCIENCE AND TECHNOLOGY,1,ENGLISH LANGUAGE 2
School of Agricultural Sciences and Veterinary Medicine,[AV2883] FOOD SCIENCE AND TECHNOLOGY,1,FINAL EXAM
School of Agricultural Sciences and Veterinary Medicine,[AV2883] FOOD SCIENCE AND TECHNOLOGY,1,FOOD AND INDUSTRIAL MICROBIAL BIOTECHNOLOGIES
School of Agricultural Sciences and Veterinary Medicine,[AV2883] FOOD SCIENCE AND TECHNOLOGY,1,FOOD PACKAGING: PRINCIPLES AND PRACTICE
School of Agricultural Sciences and Veterinary Medicine,[AV2883] FOOD SCIENCE AND TECHNOLOGY,1,INFORMATICS AND BIOSTATISTICS FOR FOOD INDUSTRY
School of Agricultural Sciences and Veterinary Medicine,[AV2883] FOOD SCIENCE AND TECHNOLOGY,1,PROFESSIONAL SKILLS IN FOOD INDUSTRY
School of Agricultural Sciences and Veterinary Medicine,[AV2883] FOOD SCIENCE AND TECHNOLOGY,1,QUALITY AND INNOVATION IN CROP PRODUCTION
School of Agricultural Sciences and Veterinary Medicine,[AV2883] FOOD SCIENCE AND TECHNOLOGY,1,QUALITY AND SUSTAINABILITY OF ANIMAL DERIVED FOODS
School of Agricultural Sciences and Veterinary Medicine,[AV2883] FOOD SCIENCE AND TECHNOLOGY,2,AGRIFOOD SUPPLY CHAINS AND MARKETING STRATEGIES
School of Agricultural Sciences and Veterinary Medicine,[AV2883] FOOD SCIENCE AND TECHNOLOGY,2,APPLIED ENZYMOLOGY FOR FOOD AND PROCESS QUALITY
School of Agricultural Sciences and Veterinary Medicine,[AV2883] FOOD SCIENCE AND TECHNOLOGY,2,AUTOMATION AND PROCESS CONTROL IN THE FOOD INDUSTRY
School of Agricultural Sciences and Veterinary Medicine,[AV2883] FOOD SCIENCE AND TECHNOLOGY,2,FOOD EVALUATION AND SENSORIAL ANALYSIS
School of Agricultural Sciences and Veterinary Medicine,[AV2883] FOOD SCIENCE AND TECHNOLOGY,2,QUALITY CERTIFICATION SYSTEMS AND FOOD HEALTH LEGISLATION
School of Agricultural Sciences and Veterinary Medicine,[AV2884] FOREST SCIENCES,1,ANIMAL BIODIVERSITY IN FOREST ECOSYSTEMS
School of Agricultural Sciences and Veterinary Medicine,[AV2884] FOREST SCIENCES,1,BIOLOGY OF TREES
School of Agricultural Sciences and Veterinary Medicine,[AV2884] FOREST SCIENCES,1,CLIMATE CHANGE AND FORESTS: MONITORING AND POLICIES
School of Agricultural Sciences and Veterinary Medicine,[AV2884] FOREST SCIENCES,1,COMMUNICATION SKILLS
School of Agricultural Sciences and Veterinary Medicine,[AV2884] FOREST SCIENCES,1,DIRECTED STUDIES
School of Agricultural Sciences and Veterinary Medicine,[AV2884] FOREST SCIENCES,1,ECOLOGY OF FOREST INSECT INVASIONS
School of Agricultural Sciences and Veterinary Medicine,[AV2884] FOREST SCIENCES,1,FINAL EXAMINATION
School of Agricultural Sciences and Veterinary Medicine,[AV2884] FOREST SCIENCES,1,FOREST ECOLOGY AND MANAGEMENT
School of Agricultural Sciences and Veterinary Medicine,[AV2884] FOREST SCIENCES,1,FOREST LANDSCAPE RESTORATION
School of Agricultural Sciences and Veterinary Medicine,[AV2884] FOREST SCIENCES,1,FOREST PATHOLOGY AND WOOD ALTERATIONS
School of Agricultural Sciences and Veterinary Medicine,[AV2884] FOREST SCIENCES,1,FOREST POLICY FOR A BIO-ECONOMY STRATEGY
School of Agricultural Sciences and Veterinary Medicine,[AV2884] FOREST SCIENCES,1,GEOLOGY OF MOUNTAIN AREAS
School of Agricultural Sciences and Veterinary Medicine,[AV2884] FOREST SCIENCES,1,GIS APPLICATIONS
School of Agricultural Sciences and Veterinary Medicine,[AV2884] FOREST SCIENCES,1,GLOBAL CHANGE AND FOREST ECOSYSTEMS
School of Agricultural Sciences and Veterinary Medicine,[AV2884] FOREST SCIENCES,1,GLOBAL FORESTRY FIELD COURSE
School of Agricultural Sciences and Veterinary Medicine,[AV2884] FOREST SCIENCES,1,GREEN CARE: FROM IDEAS TO ENTERPRISE
School of Agricultural Sciences and Veterinary Medicine,[AV2884] FOREST SCIENCES,1,INSECT ECOLOGY AND MANAGEMENT
School of Agricultural Sciences and Veterinary Medicine,[AV2884] FOREST SCIENCES,1,INTEGRATED WATERSHED MANAGEMENT
School of Agricultural Sciences and Veterinary Medicine,[AV2884] FOREST SCIENCES,1,NATURAL DISTURBANCES ECOLOGY AND MANAGEMENT
School of Agricultural Sciences and Veterinary Medicine,[AV2884] FOREST SCIENCES,1,PRACTICAL FIELD CAMP
School of Agricultural Sciences and Veterinary Medicine,[AV2884] FOREST SCIENCES,1,PROTECTED AREA MANAGEMENT
School of Agricultural Sciences and Veterinary Medicine,[AV2884] FOREST SCIENCES,1,RESEARCH AND PROJECT DEVELOPMENT METHODOLOGY: APPLICATIONS
School of Agricultural Sciences and Veterinary Medicine,[AV2884] FOREST SCIENCES,1,SPECIAL TOPICS IN FORESTRY
School of Agricultural Sciences and Veterinary Medicine,[AV2884] FOREST SCIENCES,1,SUSTAINABLE TIMBER HARVESTING
School of Agricultural Sciences and Veterinary Medicine,[AV2884] FOREST SCIENCES,1,WILDLIFE CONSERVATION AND MANAGEMENT
School of Agricultural Sciences and Veterinary Medicine,[AV2884] FOREST SCIENCES,1,WOOD PRODUCTS TECHNOLOGY AND SUSTAINABILITY
School of Agricultural Sciences and Veterinary Medicine,[AV2884] FOREST SCIENCES,2,APPLIED STATISTICS
School of Agricultural Sciences and Veterinary Medicine,[AV2884] FOREST SCIENCES,2,ECO-EFFICIENT TRANSPORTATION IN FORESTRY
School of Agricultural Sciences and Veterinary Medicine,[AV2884] FOREST SCIENCES,2,ENVIRONMENTAL RESOURCE VALUATION
School of Agricultural Sciences and Veterinary Medicine,[AV2884] FOREST SCIENCES,2,FOREST HYDROLOGY
School of Agricultural Sciences and Veterinary Medicine,[AV2884] FOREST SCIENCES,2,"FOREST POLICY, GOVERNANCE AND CONFLICTS"
School of Agricultural Sciences and Veterinary Medicine,[AV2884] FOREST SCIENCES,2,"POLICIES, MARKETS AND STANDARDS FOR FOREST ECOSYSTEM SERVICES"
School of Agricultural Sciences and Veterinary Medicine,[AV2884] FOREST SCIENCES,2,RESEARCH PLANNING
School of Agricultural Sciences and Veterinary Medicine,[AV2884] FOREST SCIENCES,2,RIVER RESTORATION AND SUSTAINABLE LAND PROTECTION
